PC1,PC2
10.38839,10.257905
-9.60231,1.0326785
-8.187584,2.1322157
-9.513882,2.0356321
11.029022,8.934065
13.132921,-12.427312
-10.009108,2.2512217
10.107389,3.0853455
-9.231173,0.26166886
-9.091268,-1.29886
-9.48357,1.1960093
16.323692,8.419023
-9.773593,-0.31258434
2.4875767,3.475095
7.818294,-6.6751447
-9.098599,2.459484
-0.16901551,2.0052173
-9.843231,-0.3958621
12.953672,6.766337
-9.875475,-0.3878876
-9.613773,3.0720088
12.495467,-9.807921
-10.104058,2.305684
-10.023982,1.3698301
-8.414898,1.8676094
7.508427,-4.8542857
10.519202,9.556468
10.632238,9.16369
9.381517,10.178593
8.330004,-19.263025
13.760939,-12.884616
3.3482945,-19.589254
-9.776351,-0.52639323
-1.0097253,-7.491913
13.212936,9.723304
-9.269628,1.9419788
-10.0646105,1.2325356
-9.729208,0.4691833
-8.360184,2.5698583
-9.00453,2.2323606
2.6288404,-13.849032
10.620653,-9.966117
-9.167597,-0.22526184
11.778671,-10.084552
-8.719931,0.81667984
1.2000104,-19.517494
16.122799,9.907922
-2.8137372,1.3986479
26.089037,8.9121
1.2660334,-1.6383587
8.032469,-8.094296
15.025243,8.102865
8.015511,-19.472202
-10.041405,1.9094915
11.276808,11.190511
2.7802463,-18.57386
-8.913449,2.202922
8.142335,9.519373
-9.303239,1.7225453
-0.2980607,1.9738731
4.4228344,-18.374332
2.3726032,2.7445664
-9.335232,2.4067628
9.410881,9.959004
-8.753719,2.6339467
5.8948045,10.2959585
2.1434522,-17.869366
13.247297,-16.330004
12.981205,7.737621
-2.7762256,-10.88709
12.742773,11.345729
-9.037054,-0.35035777
2.2590115,-1.3642051
-10.409434,0.833786
-7.0044847,0.5813011
-9.0354395,1.3049566
3.6026254,-19.468914
-10.272669,0.40565833
-8.933061,2.8801346
-9.319393,1.9128177
10.417049,9.195468
-9.018876,1.6315122
-10.000581,0.6921897
-9.528302,0.50011605
13.523747,-9.076151
-9.254647,1.7945
13.546251,-10.444677
23.526567,5.534678
-9.253867,2.6291573
12.518055,10.635939
-8.168123,2.2393153
-8.011258,2.038115
23.629038,8.359176
16.12189,7.643731
3.0466359,2.103653
9.603896,5.4500456
-0.41466546,0.2820823
-8.551376,1.5073138
1.8400862,-2.7947555
-9.619479,1.9332665
-9.574097,2.2403085
-9.439005,0.3491972
-9.123552,-1.2937292
4.9238005,2.7418911
-9.221022,1.6628897
-8.976713,1.8657528
3.4963524,-19.319578
0.3006086,-17.924387
10.018536,9.687052
4.632598,-2.7115557
6.323058,8.085969
-8.38296,2.647767
0.97733676,-15.296101
26.409994,11.606581
-8.122502,2.5046473
8.183641,8.067196
-10.2295885,0.5286748
-8.770733,3.264411
3.9995573,-23.19629
-8.61779,-1.837864
12.0606575,10.360529
-8.907385,2.3797464
20.023857,6.856258
-9.871355,1.8582319
3.6079283,-21.197062
-9.336183,1.9891647
-9.603225,2.590548
-8.165688,2.7158215
-10.52754,0.16945098
9.917533,-3.3123498
-8.255157,0.97695285
8.4674225,9.231718
-1.0413116,-13.817205
-9.567169,1.1992184
7.682126,-2.12318
-9.3526325,1.8537956
-9.484934,0.27952626
-9.581123,2.671869
-8.104493,1.8466372
-8.178527,1.6494082
-7.8772016,2.1918461
3.447781,-20.422907
6.2205896,3.4424284
8.646172,8.955614
-9.205085,1.8495982
8.272634,5.725146
-9.131212,0.2235242
-10.071034,2.5050292
-9.728716,0.365572
-8.834814,1.4933337
2.0855646,2.870469
-8.719344,1.5320323
2.274546,-19.761847
-8.574815,2.2827542
-9.254748,2.353792
9.066185,-7.25157
-0.27634996,-12.889883
2.811436,-22.421967
0.4052059,5.704085
-7.8763413,2.3780673
-9.948565,0.19076233
13.916765,-7.4101887
9.795186,10.938091
-9.123739,0.96936965
1.1782746,-16.923891
11.989396,8.504945
9.02227,-18.843544
-9.506483,2.8512042
1.7753663,-21.286247
-8.870188,1.9112852
-8.645634,2.292959
6.957125,-21.436413
-9.075707,0.15334187
-9.633336,1.7805438
7.83318,9.737118
-8.839788,2.353168
7.0920343,-11.888546
11.74961,-16.291723
3.5294263,2.6568825
-8.890144,0.8153353
2.777164,2.5451102
-9.742878,1.7887802
-9.486213,-0.45073718
-9.641067,0.8319589
1.3849218,-18.56543
7.097564,3.649962
11.377063,-12.617086
7.6556864,-9.332067
-9.012092,1.875543
-7.173523,2.2685971
11.973177,9.643266
-9.490674,2.0339262
-9.044027,1.8264272
24.61782,7.0966516
21.342125,7.08408
0.44358525,-17.951874
4.491833,1.5899395
15.35639,10.382558
15.903419,6.039963
-10.350884,1.3329858
10.870769,6.389999
25.340458,7.0216303
0.7493004,-19.04907
8.858137,-2.4976704
1.0890086,-18.115364
0.4699407,-20.02632
-9.416808,1.3753
23.734875,8.434201
-9.712505,-0.056577466
-9.047942,1.9047955
-8.1927805,1.3456826
-9.464213,1.7484239
-7.89789,2.359543
-9.475558,0.8664326
-6.213735,1.6808068
4.214387,1.3901947
-9.68277,0.960697
13.054394,6.5250316
-8.252811,2.0560875
-9.776638,1.2675912
8.009722,5.245847
24.615782,11.035615
-9.022682,1.6283244
-7.991883,2.7820852
-9.163847,1.8477354
-9.391874,1.364042
12.493041,-10.818007
9.888263,9.393591
12.02917,9.305193
-10.532893,1.10497
-8.884067,0.42441285
5.3544297,1.8191648
-9.364237,1.3401142
3.5437877,-2.273896
-9.803327,1.5661895
-8.439789,1.9051548
-9.82827,0.17330264
-1.3798215,1.9959943
10.022864,2.9309638
-8.877323,0.80739385
-8.30144,2.1253088
3.985726,0.5895782
27.001799,9.956314
0.27825293,-18.681677
2.2464862,1.8853084
-9.524389,-0.14666113
0.18992889,-14.814885
3.9781795,-22.357502
-6.987286,-0.81705296
-7.167538,2.200031
-7.908615,1.705635
-8.678608,3.0126774
14.00409,11.008667
12.3528805,11.802232
-7.669793,-2.9409325
-9.558534,1.2923263
9.440339,7.5745854
6.931325,-8.816292
-9.705415,0.45339215
1.1070869,-15.542678
-8.722626,1.7602767
10.566579,9.532991
5.992591,-0.3874477
-9.869106,1.4686472
11.549283,7.4068837
11.171533,9.7223015
-5.73758,3.3227038
-9.84784,1.4576789
-9.577178,-0.76683414
-9.877672,0.8510177
-8.705812,1.9680252
-9.8614645,-0.6926749
-9.043529,2.2380755
9.508424,10.102368
4.166925,1.3877028
17.657785,1.0504639
-9.216245,0.46535248
-9.534591,0.598588
12.562348,11.022515
9.889165,-11.160763
-4.737246,2.2987525
-8.952605,2.1582468
-8.191796,2.6595356
-9.1519575,2.2917206
3.8367856,-15.501469
6.8413625,-16.614004
17.574608,5.9430604
-9.546891,-0.05936504
26.065351,7.35496
-9.871912,-0.24812289
0.8593689,5.8475194
-9.376075,1.7794082
-7.6208186,1.7385993
-9.377948,2.7745981
-9.111837,0.20407066
-9.472475,1.4235634
-9.86262,0.67510444
5.132775,-19.122978
14.351327,-10.775345
12.579632,11.20619
10.376487,1.6896272
1.6002332,-14.176464
-8.945383,1.7613403
8.574832,6.6966314
7.7581344,-3.5701327
-8.936272,2.9771476
11.081799,8.865815
5.0878615,-7.620066
10.248505,9.193959
6.9792247,-3.031627
-8.131459,2.9224546
-10.4944315,2.4264193
-10.2228155,2.4222357
4.500281,0.6082584
-1.4626758,-15.287861
-9.045119,1.6121951
-9.700576,1.360005
-9.573971,1.0635105
2.1312506,-18.12944
-9.848111,1.1302853
9.706244,9.447875
-3.7912352,-10.173458
11.356762,7.6108694
-8.105443,2.6769686
6.2623577,8.673985
24.681944,8.938077
14.159032,7.367804
-9.718106,-0.7950315
13.569657,-10.504444
14.234834,-8.898591
-8.380643,2.1213877
0.975764,4.4445267
3.285577,2.3486817
11.894755,-19.415655
-9.570703,1.6445895
3.3505483,2.9191673
2.7712011,-16.758886
2.388004,-18.756695
9.3266945,9.906673
11.417578,-13.4233265
3.1019843,-21.97618
-9.561462,2.0663505
10.890125,-15.499413
-9.1227665,2.2485318
11.390579,10.429405
-1.0755863,2.0369773
-10.053605,2.673499
10.654913,10.838327
9.03537,9.46012
-1.6916995,-6.203333
-9.370701,1.1498568
-9.173775,2.3716817
19.788248,9.961978
-9.721448,2.356324
24.603064,10.204796
-9.996802,1.420955
-7.598322,1.901991
6.778628,8.8665495
3.2551475,1.9601252
24.302454,10.616007
-9.2848835,0.7011868
-8.9934025,2.3239498
-9.0827265,1.7940704
13.951327,3.530338
18.88472,-18.700443
-9.299604,0.67979294
-8.845614,1.161664
-8.718829,0.3638196
-8.860984,2.21149
0.53218657,-19.359468
-9.609276,2.469331
-10.3570385,1.2491883
-0.59353197,2.673805
-9.302987,1.2234236
5.183603,8.635782
1.1199683,-18.654861
12.635371,9.665388
-9.436222,0.7067854
26.428339,10.619509
-8.00408,2.1992614
-9.72256,2.2634957
26.11986,11.135576
-10.386811,0.80491406
7.518561,9.284654
24.08381,7.829615
15.756777,7.8513637
-9.590949,1.8242234
-7.0201054,0.42836592
0.9632941,-18.607723
9.425441,4.3042707
1.2284967,-8.376428
-8.509585,1.1844617
4.0231442,1.7021692
3.5653374,-5.8073826
-9.415054,1.4684045
-1.8935969,2.7450054
-9.948674,1.8398248
-2.0091736,-13.153745
-9.995379,0.7679519
12.006172,-14.159668
-10.556128,1.9842442
-9.800633,-1.298743
12.4840765,-14.980559
10.804538,11.265574
-10.408562,1.8262482
14.755568,10.506613
15.948078,-9.784906
-8.921174,2.3460817
-9.295001,1.0513467
-8.402185,2.5466824
-9.92413,0.9243899
-8.968995,1.1260256
8.969453,-15.781382
-9.016312,2.473523
1.7003663,1.3332841
27.783775,11.200092
10.638922,-10.16843
-9.356707,-0.8419791
1.1479288,1.9109713
-7.9056253,0.2738438
15.288738,-11.64962
-0.03999203,2.6508892
-8.689178,-1.8082498
-8.835316,3.0799901
-8.460991,2.3396103
18.539845,1.7036875
-9.690113,1.6978718
14.218335,8.021758
-9.259547,2.4764557
2.1517038,-19.638247
-7.341154,-0.69324464
-9.716861,2.4836059
-9.495672,2.2401745
9.042899,-28.440195
-9.932033,1.9807407
12.587023,3.1395347
-10.822987,1.6692921
1.9367793,4.8079023
-8.975623,0.07056021
-9.830593,0.7335114
-8.590944,1.7970939
-9.852563,-0.17486243
2.7578723,-1.0843621
-9.550547,1.8027639
11.004128,-9.429686
-10.150451,1.2144179
-7.8519626,1.932193
-9.523659,1.661294
23.677721,11.720799
14.549668,-6.5699944
1.7733777,1.5853372
-9.47692,1.7868431
-9.617425,0.026007302
25.343401,9.01481
15.323387,-18.519367
-8.890644,0.8633586
-10.005391,1.3694301
16.648466,-14.036681
5.3888097,-2.7989256
-9.020578,2.8418531
10.31833,-10.291741
11.277596,10.577783
-8.925608,1.5860993
13.791263,-15.612912
-9.266194,1.1078722
-9.293747,2.8175426
-9.667366,1.7804679
-9.61422,0.065531425
-9.670905,1.0872605
7.5509343,8.135352
-0.44796166,1.8578848
-10.681961,0.24721086
15.913393,8.916545
25.532757,8.925859
-9.319063,1.9814352
-9.568797,1.3734782
9.7528305,-14.758325
-9.082476,0.57722414
-10.065113,1.7015375
23.068567,8.314685
-9.939675,0.37998682
2.8455145,-17.845917
-8.89756,2.6314573
-9.22761,1.3925074
24.10146,6.7190566
-8.984463,1.837078
-8.775172,2.0627503
-9.094511,2.0866401
19.492842,8.396545
3.3303668,-1.7238464
12.646047,1.086225
12.463316,9.7098675
-1.6023265,0.15521596
1.6010643,-13.722652
6.207646,5.335783
-9.410965,0.9025267
10.518042,8.467899
11.564055,-13.451989
-10.232782,1.0915902
19.75053,9.39412
