"","PC","Variance"
"1","PC1",0.189408306959236
"2","PC2",0.116134804620347
"3","PC3",0.099582651504049
"4","PC4",0.0894253012820234
"5","PC5",0.0685384221886843
"6","PC6",0.0589951740237421
"7","PC7",0.0355287822013622
"8","PC8",0.0307837611681942
"9","PC9",0.0297515391673225
"10","PC10",0.0263636801389538
"11","PC11",0.0228501462860651
"12","PC12",0.0179558886404669
"13","PC13",0.0157046730153021
"14","PC14",0.0135787599506253
"15","PC15",0.0125494861972336
"16","PC16",0.0109980008061956
"17","PC17",0.0107937973893279
"18","PC18",0.0104201195599547
"19","PC19",0.00910667151583304
"20","PC20",0.00813898453377667
"21","PC21",0.00718450501995235
"22","PC22",0.00708686132853774
"23","PC23",0.00703471660872656
"24","PC24",0.00607923392952093
"25","PC25",0.00589823436761825
"26","PC26",0.00536300949990999
"27","PC27",0.00511797046547782
"28","PC28",0.00470538839680542
"29","PC29",0.00464107980028589
"30","PC30",0.00442304024189588
"31","PC31",0.00428959602881159
"32","PC32",0.0042353209489578
"33","PC33",0.00385169042425694
"34","PC34",0.00383622158817634
"35","PC35",0.003692539920227
"36","PC36",0.00350624446194993
"37","PC37",0.00345682709508232
"38","PC38",0.00342280973418246
"39","PC39",0.00337705256878767
"40","PC40",0.00329377898537961
"41","PC41",0.00321735816596529
"42","PC42",0.00311279135162466
"43","PC43",0.0030572899172727
"44","PC44",0.00289912026462794
"45","PC45",0.00283107358425947
"46","PC46",0.00280786814191832
"47","PC47",0.00279303151322329
"48","PC48",0.00274268180591695
"49","PC49",0.00273090630823826
"50","PC50",0.00270280638371444
