"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.48947883986672,0.999,0.922,0,"0","Retnlg"
1.91799819129816e-75,2.24093914118956,0.331,0.154,4.24414639770456e-71,"0","Cstdc4"
8.85872713911517e-296,2.15435810004415,0.692,0.269,1.96025914134341e-291,"0","Nt5e"
0,2.11374767423741,0.754,0.313,0,"0","A530064D06Rik"
2.17178028815415e-311,2.09108448701802,0.725,0.318,4.8057154216275e-307,"0","9830107B12Rik"
2.4588003492454e-84,2.02107830304716,0.306,0.129,5.44083341281023e-80,"0","E230014E18Rik"
0,1.98262353094765,0.826,0.285,0,"0","Il1f9"
1.25033107662341e-53,1.91533112568852,0.282,0.145,2.76673260635228e-49,"0","Rnf125"
2.03341273429872e-92,1.90991620253234,0.362,0.159,4.49953569845622e-88,"0","Stfa2l1"
9.27090084985473e-234,1.89615744370166,0.674,0.33,2.05146494005585e-229,"0","Rdh12"
0,3.96892770237884,0.942,0.332,0,"1","Egr1"
9.18541493150164e-209,3.8920133459817,0.255,0.035,2.03254861604268e-204,"1","AU019990"
0,3.8849015192759,0.876,0.338,0,"1","Cxcl2"
3.37297990068014e-252,3.78516515259671,0.314,0.046,7.46372992422501e-248,"1","Rasip1"
0,3.74477127681641,0.503,0.089,0,"1","Lypd6b"
0,3.7326368648803,0.469,0.079,0,"1","Egr2"
0,3.73082386480123,0.79,0.215,0,"1","Acod1"
0,3.66644840003359,0.806,0.245,0,"1","Ptgs2"
1.28745768719557e-172,3.63826436911908,0.264,0.05,2.84888637022636e-168,"1","Prr5l"
0,3.62384297537995,0.812,0.23,0,"1","Hcar2"
1.15352501589492e-166,2.50950832277984,0.334,0.075,2.55252015517228e-162,"2","Chil5"
1.54706938968324e-212,2.48882989599422,0.506,0.152,3.42335514549108e-208,"2","Acvrl1"
1.93951590891859e-224,2.39745824801577,0.426,0.093,4.29176080325506e-220,"2","Gpr27"
0,2.22196898300045,0.989,0.579,0,"2","Mmp8"
1.69689930674007e-180,2.08461402564749,0.486,0.154,3.75489878595444e-176,"2","F730016J06Rik"
1.0496553140312e-108,2.00728324597314,0.267,0.068,2.32267727888825e-104,"2","Dmwd"
1.94837154528157e-98,1.99503669633926,0.331,0.114,4.31135655539907e-94,"2","Krt83"
1.49969366443466e-113,1.99355346231711,0.327,0.1,3.31852214066101e-109,"2","Gm26797"
4.42210953202173e-73,1.98821975421317,0.272,0.1,9.78524397245769e-69,"2","Reck"
2.12340435043748e-85,1.9792444890688,0.286,0.096,4.69866914664806e-81,"2","Bmpr1a"
0,3.17465807321049,0.577,0.096,0,"3","Orm1"
8.20340242702421e-310,3.13594065240959,0.744,0.264,1.81524888905192e-305,"3","Zmpste24"
1.12608872691126e-203,3.0439021700066,0.323,0.051,2.49180913490923e-199,"3","Cldn1"
0,2.94240114220924,0.958,0.253,0,"3","Fmnl2"
3.0528503144378e-160,2.93956024401977,0.325,0.067,6.75534717578796e-156,"3","Ldhc"
0,2.92401761656247,0.669,0.138,0,"3","Ica1"
1.65254732434761e-168,2.69601593209417,0.355,0.077,3.6567567193164e-164,"3","1500015L24Rik"
1.36886485053375e-268,2.69433040009802,0.532,0.117,3.02902414126108e-264,"3","Ffar2"
3.66209494835505e-144,2.67936561814885,0.266,0.047,8.10348370172005e-140,"3","Plscr2"
0,2.62418417620681,1,0.687,0,"3","Ltf"
0,6.61276406931807,0.412,0.02,0,"4","Reln"
0,5.02312834758499,0.612,0.045,0,"4","Il2ra"
0,4.69235506398618,0.66,0.064,0,"4","Agbl1"
0,4.61308186570752,0.773,0.105,0,"4","Mast4"
0,4.55970238453352,0.522,0.058,0,"4","BE692007"
0,4.54600078576933,0.485,0.042,0,"4","Iglc3"
1.70265961669483e-251,4.52293314694249,0.296,0.031,3.76764519982231e-247,"4","Fam189a1"
1.07063176588988e-284,4.33793329703531,0.399,0.056,2.36909397156114e-280,"4","Gm8369"
0,4.31270769184854,0.875,0.097,0,"4","Tmem163"
0,4.30519565985587,0.758,0.084,0,"4","Rag1"
0,6.98766902994776,0.357,0.01,0,"5","Adgre4"
0,6.45199352031204,0.344,0.01,0,"5","Hpgd"
0,5.72426818570807,0.567,0.02,0,"5","Fcgr1"
0,5.68807402529131,0.762,0.033,0,"5","Arhgef37"
0,5.65529934505954,0.551,0.023,0,"5","Zfyve9"
0,5.60597252757801,0.388,0.015,0,"5","Cfh"
0,5.55999205026811,0.557,0.021,0,"5","Tmem51"
0,5.39637282628373,0.567,0.027,0,"5","Vcan"
0,5.33022864012122,0.426,0.017,0,"5","Gm35154"
0,5.32396826075196,0.574,0.027,0,"5","Tbc1d9"
