"Gene","Loading"
"Ptma",0.0828826672826387
"Hmgb1",0.0748968817553142
"Pkig",0.0711243628393441
"Aff3",0.0706754436615804
"Npm1",0.0701578367496703
"Tubb5",0.0699637227551912
"Smarca4",0.0691459242993208
"Gm47283",0.0691002564157609
"Ezh2",0.0685150140551377
"Bach2",0.0680903489065547
