"cluster","genes"
"0","Retnlg, Cstdc4, Nt5e, A530064D06Rik, 9830107B12Rik"
"1","Egr1, AU019990, Cxcl2, Rasip1, Lypd6b"
"2","Chil5, Acvrl1, Gpr27, Mmp8, F730016J06Rik"
"3","Orm1, Zmpste24, Cldn1, Fmnl2, Ldhc"
"4","Reln, Il2ra, Agbl1, Mast4, BE692007"
"5","Adgre4, Hpgd, Fcgr1, Arhgef37, Zfyve9"
"6","Sdk1, Hist1h1a, Sapcd2, Hist1h3a, 2610318N02Rik"
"7","Fcnb, Mogat2, Syngr1, Orm1, 1700020L24Rik"
"8","Ms4a1, Fcmr, H2-DMb2, Gm31243, Bcar3"
"9","Itga1, Nrg1, Ass1, Klrb1f, F13a1"
"10","Siglech, Rtn4rl1, Ptprf, Ccr9, Ephb2"
"11","A630023P12Rik, Arpp21, Gm30948, Grb7, Vpreb2"
"12","Elane, Prtn3, Mpo, Ctsg, Nkg7"
"15","Fcer1a, Cd200r3, Il4, Il13, Prss34"
