"x"
"Prss34"
"Mcpt8"
"Ccl5"
"Gzma"
"Sparc"
"Ctsg"
"Elane"
"Cpa3"
"Col2a1"
"Apoe"
"Prtn3"
"Mpo"
"Acan"
"Comp"
"H2-Aa"
"Snorc"
"H2-Eb1"
"Thy1"
"Bgn"
"Kcnma1"
"Col11a1"
"C1qb"
"Chad"
"Col11a2"
"H2-Ab1"
"Cd74"
"Car2"
"Plod2"
"Serpinh1"
"Slc25a21"
"Slc4a1"
"Spp1"
"Fmod"
"Col9a3"
"Hapln1"
"C1qa"
"C1qc"
"Grm8"
"Sox6"
"Cstdc5"
"Col9a1"
"Col9a2"
"Dcn"
"Iglc2"
"Ecrg4"
"Olfm4"
"Cox6a2"
"Auts2"
"Igfbp7"
"Fn1"
"Mgp"
"Col1a2"
"Angpt1"
"Crispld1"
"Mia"
"Cnmd"
"Col5a2"
"Col27a1"
"Sox9"
"Stfa1"
"Ccl3"
"Prg2"
"Col1a1"
"Gpc6"
"Vpreb1"
"Ccl4"
"Gm2682"
"Il6"
"Lum"
"Col6a3"
"Car1"
"Wif1"
"Cpe"
"Prkg1"
"Trbc2"
"Col3a1"
"Ms4a3"
"Klra4"
"Siglech"
"Zfp385b"
"Col6a1"
"Tmcc2"
"Hemgn"
"Ccn2"
"Mfge8"
"Snca"
"Timp3"
"Rhd"
"Gypa"
"Ikzf2"
"Dntt"
"Col12a1"
"Gata2"
"Pth1r"
"Prg4"
"Smpd3"
"Skap1"
"Ccn1"
"Lpl"
"Cd200r3"
"Pcdh9"
"Jchain"
"Prelp"
"Col6a2"
"Matn3"
"Tox"
"Ibsp"
"Igkc"
"Ctla2a"
"Ccr9"
"Nrg1"
"Unc5c"
"Ppic"
"Ms4a7"
"Ank1"
"Stfa3"
"Agbl1"
"Pf4"
"Fcer1a"
"Cd36"
"Ccdc80"
"Pcolce2"
"Kel"
"Tmtc2"
"Ndufa4l2"
"Itk"
"Il4"
"Meg3"
"Wwtr1"
"Aqp1"
"Cyp11a1"
"Nkg7"
"Cstdc4"
"Igll1"
"Ms4a2"
"Sobp"
"Chsy3"
"Pltp"
"AW112010"
"Clu"
"Ermap"
"Tenm3"
"Mecom"
"Fcnb"
"Stfa2"
"Pcolce"
"Fibin"
"Ifitm1"
"Mrc1"
"Rora"
"Hspg2"
"Areg"
"Alas2"
"Grb10"
"Xcl1"
"Gria3"
"Mir99ahg"
"Sptb"
"St6galnac3"
"Omd"
"Iglc3"
"Papss2"
"Cxcl10"
"Themis"
"Sdk2"
"Rnf220"
"Exoc3l2"
"Cst3"
"Vcan"
"Fxyd3"
"Hgf"
"Prkg2"
"Susd5"
"Rhag"
"Trbc1"
"Fam155a"
"Cspg4"
"Lmna"
"Il2rb"
"Bcl2"
"Ly6d"
"Ms4a4b"
"Mt1"
"Lef1"
"Ccl2"
"Fabp4"
"Fkbp9"
"Peg3"
"Edil3"
"Samd4"
"Meltf"
"Bst2"
"Mzb1"
"Meis1"
"Sox5"
"Fxyd2"
"Tspan33"
"Tcf4"
"Dab2"
"Gpnmb"
"Camk4"
"Hist1h1b"
"Ms4a1"
"Adgrl4"
"Alpl"
"Arpp21"
"Cxcl2"
"Slc18a2"
"Igha"
"Stox2"
"Pdzrn3"
"Slc22a3"
"Adamts9"
"Hmbs"
"Nxpe2"
"Igfbp5"
"Cpox"
"Klra8"
"Cpne8"
"Klra7"
"Cxcl1"
"Rgs1"
"Prdx2"
"Ucma"
"Pkhd1l1"
"F13a1"
"Spta1"
"Ly6a"
"Ppa1"
"Reln"
"Cldn13"
"Srpx2"
"Gzmb"
"Ptch1"
"Smoc2"
"Dlc1"
"Vcam1"
"Csrp3"
"Cd209a"
"Selenop"
"Gas1"
"Tsc22d1"
"Itm2a"
"Tnfrsf11b"
"Stab2"
"Col5a1"
"Naaladl2"
"Cadm1"
"Sidt1"
"Mafb"
"Emp1"
"Htra1"
"Plcb1"
"Anxa8"
"Klk1"
"Cd8b1"
"Trem2"
"Blvrb"
"Npas3"
"Chadl"
"Tnfsf11"
"Islr"
"Flt1"
"Fgfr1"
"Runx2"
"Cemip"
"Iglc1"
"Setbp1"
"Cd3g"
"Fap"
"Hist1h2ap"
"Pparg"
"Fabp5"
"Rcn3"
"Cxcl14"
"Rbp4"
"Hist1h2ae"
"Tppp3"
"Col16a1"
"Zfp521"
"Colgalt2"
"Lox"
"Pde10a"
"Plvap"
"Cilp2"
"Kdr"
"Pde3a"
"Nupr1"
"Pmepa1"
"Mgst3"
"Tfpi"
"Stfa2l1"
"Mmp12"
"Galnt18"
"Ptprb"
"Irf8"
"Myct1"
"Hebp1"
"Cald1"
"Ank"
"Rbms3"
"Colec12"
"Ust"
"Cd83"
"Ctsb"
"Tnip3"
"Igfbp4"
"Nfib"
"S100a4"
"Scara3"
"Tgfbr3"
"Panx3"
"Col4a1"
"Nrxn1"
"Plagl1"
"Adamts5"
"Grap2"
"Tex2"
"Nrp2"
"Sema3d"
"Ptgis"
"Antxr1"
"Lgr6"
"Ldb2"
"Foxc1"
"C3ar1"
"Nrep"
"Htr7"
"Txk"
"Ube2c"
"Vit"
"Zfhx4"
"Gpx3"
"Slc24a3"
"Osmr"
"Col10a1"
"Capn6"
"H19"
"Cd7"
"Palld"
"Srgap3"
"P3h2"
"Pid1"
"Enpp1"
"Rbfox1"
"Rhoj"
"Frzb"
"Scin"
"Nrgn"
"Ctsc"
"Atp6v0d2"
"Stab1"
"Cytl1"
"Klrd1"
"Lgals1"
"Vpreb2"
"C1qtnf3"
"Traf1"
"Errfi1"
"Mmp13"
"Gm11290"
"Gdf15"
"Csta2"
"Nfatc2"
"Flnb"
"Timp1"
"Sgcd"
"Fgf13"
"Tnc"
"Ptprm"
"Wfdc17"
"Clec3a"
"Klf4"
"Ctss"
"Slc8a3"
"Ccser1"
"Iglv1"
"Lmo7"
"Alad"
"Ier3"
"Ptprd"
"Cd86"
"Saa3"
"D630045J12Rik"
"Cox4i2"
"Klf1"
"Cdk6"
"Fkbp10"
"Nr2f2"
"Lifr"
"Il1rapl2"
"5430401H09Rik"
"2610307P16Rik"
"Tm4sf1"
"Trabd2b"
"Pla2g5"
"Olfml3"
"Txndc5"
"Trdc"
"Enpp2"
"Prss57"
"Immp2l"
"Plpp3"
"Mmp2"
"Myl4"
"Sdc4"
"Zfpm2"
"Zbtb16"
"Nav3"
"Acp5"
"Pcsk5"
"Crip1"
"Ldlrad4"
"Specc1"
"Pdzrn4"
"Bank1"
"Cdkn1c"
"Cd14"
"Cyyr1"
"Cenpf"
"Fgfr3"
"Rgs6"
"Cdh11"
"Klra5"
"Pacsin1"
"Derl3"
"Epyc"
"Epx"
"Ms4a6c"
"Srpx"
"Pdgfc"
"Smoc1"
"Tmem56"
"Abi3bp"
"Htra3"
"St18"
"Tnfrsf17"
"Ccr2"
"Tshz2"
"Aebp1"
"Bmp6"
"Scube1"
"Smim1"
"Slc8a1"
"Chst11"
"Prkd1"
"Fkbp11"
"Ifit1"
"Clec11a"
"Nr4a2"
"Klre1"
"Gja1"
"Gm15726"
"Slfn14"
"Astn2"
"Car8"
"Gm26917"
"Dqx1"
"Mmp14"
"Prickle1"
"S100b"
"Flt3"
"Serpine2"
"Fech"
"Mertk"
"Mcc"
"Gas6"
"Aldh1a1"
"Ckb"
"1700113H08Rik"
"Inpp4b"
"Magi2"
"Sema6d"
"Col25a1"
"Neo1"
"Hdac9"
"Cthrc1"
"Btbd11"
"Airn"
"Sema6a"
"Ptprg"
"Adam12"
"Snhg18"
"Ccl9"
"Snx24"
"Fstl1"
"Ddr2"
"Trpv4"
"P2ry14"
"Trac"
"Prg3"
"Cxcl9"
"Kdelr3"
"Etl4"
"Fam180a"
"Tnfsf9"
"Fbxl7"
"Wscd2"
"Dmtn"
"Gm16070"
"Mamdc2"
"Kynu"
"Nhs"
"Tgfb2"
"Emcn"
"Cxcl16"
"2310039L15Rik"
"Il12rb2"
"Gm15915"
"Cd3e"
"C4b"
"Cd3d"
"H2afx"
"Glis3"
"Tmem108"
"Klrc1"
"Dst"
"Acod1"
"Ms4a4c"
"Fxyd1"
"Dync1i1"
"Tmem163"
"Kcnq5"
"Pclaf"
"F930017D23Rik"
"Rian"
"Adgre4"
"Mt2"
"Lgmn"
"Prnp"
"Ccnd1"
"Slco2b1"
"Cst7"
"Kif21a"
"Sdc2"
"Klra9"
"Apba1"
"Ifi205"
"Rnase12"
"Mif"
"Dpysl3"
"Tspo2"
"Axl"
"P4ha2"
"Bcar3"
"Adamts1"
"Serpinb9"
"Trim10"
"Rab38"
"Pappa"
"Shank3"
"Csgalnact1"
"Cxcr6"
"Arhgap6"
"Shox2"
"Rab27b"
"Gng11"
"Hhip"
"Ncr1"
"Taf4b"
"Arg1"
"Bglap"
"Dmkn"
"Thbs3"
"Thsd7a"
"Abcc9"
"Ebf1"
"Myl10"
"Igf1"
"Cacna1e"
"Basp1"
"Gimap4"
"Ahnak"
"Hpgd"
"Cfh"
"Kcnh8"
"Gm30211"
"Zfp366"
"Mast4"
"Ptgs2"
"Zc3h12c"
"Pdgfa"
"Prkch"
"Flt4"
"Ifi30"
"Ramp2"
"Cdh5"
"Sema3a"
"Cd209d"
"Klhl29"
"Csf3"
"F10"
"Chrdl1"
"Agtr1a"
"Dapl1"
"Ccl7"
"Gfra1"
"Cldn5"
"March3"
"Ptpn22"
"Icos"
"Fosb"
"Fyn"
"Ctsl"
"Ighm"
"Nog"
"P3h4"
"Iigp1"
"Atf3"
"Folr2"
"Hes1"
"Col19a1"
"Has1"
"Ltbp1"
"Pde4c"
"Prex2"
"Cp"
"Bcl2a1d"
"Rbfox2"
"Cavin2"
"Eda"
"Fgfrl1"
"Fam214a"
"Chst1"
"Ptprk"
"Akap6"
"Myo1e"
"Hist1h1e"
"Pde4dip"
"Top2a"
"Klrk1"
"Gm21762"
"Gstm1"
"Hspa1a"
"Hist1h2ab"
"Calca"
"Serpina1d"
"Sod3"
"Ghr"
"Atp6v0a4"
"Postn"
"Nkx2-3"
"Thsd4"
"Dlg2"
"Gm43154"
"S100a10"
"Cacna2d1"
"Slc7a8"
"Maf"
"Abca1"
"Aif1"
"Rnf150"
"Cd247"
"Ltbp2"
"Pmp22"
"Bcl2a1b"
"Rad51b"
"Crim1"
"Nid1"
"Frmd4b"
"Cd34"
"Pcdh11x"
"Gm41335"
"Fam189a1"
"Ar"
"Synpo2"
"Hist1h4d"
"Itga2b"
"Angptl2"
"Lrp8"
"Rsad2"
"Cxcl17"
"Akap12"
"Krt81"
"Bcl11a"
"Sdf2l1"
"Klra1"
"Zbtb7c"
"Tpm2"
"Bach2"
"Chil3"
"Apol11b"
"Tmem176b"
"Gxylt2"
"Tiam2"
"Gm32569"
"Tcf7"
"Ddit4l"
"Sdk1"
"Hist1h1a"
"Pcsk6"
"Ihh"
"Dut"
"Notum"
"Pcdh7"
"Itga1"
"Stxbp6"
"Epha3"
"1700027J07Rik"
"Il13"
"Mir155hg"
"Mxra8"
