PC,Variance
PC1,0.2886959989362155
PC2,0.1512309870208245
PC3,0.06289602003001007
PC4,0.03986876101202434
PC5,0.03546145125793593
PC6,0.033996386010403175
PC7,0.03248806579609527
PC8,0.02490287555929669
PC9,0.019760887483213696
PC10,0.018099302910753828
PC11,0.016665820735653473
PC12,0.015742016689009257
PC13,0.014889890064263186
PC14,0.013928439472986135
PC15,0.013305786809605542
PC16,0.012156719422442598
PC17,0.010288083764010124
PC18,0.009852353982103424
PC19,0.009207226109498241
PC20,0.00901377401451602
PC21,0.008628851694856375
PC22,0.007929372256128081
PC23,0.007877559649410983
PC24,0.00740284086464849
PC25,0.007199273058304171
PC26,0.006982694567860225
PC27,0.0067391279814321805
PC28,0.006622932895472901
PC29,0.006261093579344691
PC30,0.006070545142590002
PC31,0.005968086465788735
PC32,0.005740848406266427
PC33,0.0056660221977514295
PC34,0.005417288379054776
PC35,0.00536145652120734
PC36,0.0052708720720574375
PC37,0.005203036121560061
PC38,0.0050490532161862715
PC39,0.004885987132878659
PC40,0.0048081395098551905
PC41,0.0047013415994138184
PC42,0.004449923807382232
PC43,0.004404442498228865
PC44,0.004295376588990611
PC45,0.004270300761149664
PC46,0.004233763321312465
PC47,0.00409576752209753
PC48,0.004044212025337591
PC49,0.0040046194109880475
PC50,0.003964323671584043
