Ptprz1
Cd200
Adcy4
H2-Oa
Cracr2b
Tnfsf9
Laptm5
Tuba8
Tmem100
Marcksl1
Ffar2
Sod2
Pcsk5
Adgrg1
Lgi1
Ptrf
0610012D04Rik
Pmaip1
Srpx
Wnt10a
Nkain4
Pgm5
Cbfa2t3
Bcl2a1d
Thbs4
Kank4
Hrct1
Cxcl3
Gm12224
Scg5
Slc1a1
Akr1c18
Fam43a
Sdcbp
Ppp1r9a
Basp1
H2-Q6
Ppargc1a
Egfl8
S100a16
Cfd
Tpm1
Sbspon
Elovl7
Slc22a17
Ifitm2
Bace2
Cldn1
Inhba
Gm10069
Slc1a3
Ctss
Il10
Timp4
C2
Tmem54
Syngr1
Nmrk2
Zfp612
Kcna6
Sirpb1c
Cd36
Arl5c
Slc45a3
Atp2a1
Crispld1
Klrb1b
Klf6
Gipc2
Cst7
Zfp36
Plpp1
Cacna1b
Rgs1
Cald1
Cpm
Gpihbp1
Sec14l4
Tspan15
Glipr1
Vtn
Tubb3
9530053A07Rik
Ppic
Khdc3
4930548H24Rik
RP23-182F18.2
H2-Ab1
Mcpt4
Efnb2
Fam49b
Ctsg
Kng2
Col20a1
Tmem37
Tnfaip6
Hspg2
Slc9a3r2
Selp
Msmp
C1ql3
Card19
Fgf9
Gatm
Art4
Bmp2
Cyba
Fdps
Gm6377
Ms4a6d
Mxra8
Adam8
Atf3
Ccl7
Podxl
Sox2
Vcan
Itgb8
Tgm2
Lmod1
Abcb1a
Hba-a2
Irf7
Smpdl3a
Chodl
Malat1
Gimap1
Ltf
Usp18
Ly6c1
Tpd52
Ctla2a
Ubc
Gpm6b
Nr2f2
Gcsam
Cpne5
Ucn2
Cystm1
Pou3f1
Gm43698
Ms4a7
Spp1
Dll1
Lat
D030040B21Rik
Gm17092
Map1lc3a
Cox8b
Mustn1
Hrasls
Cd93
Kcnb1
Esm1
Gm5148
Serpina3m
Gm12530
Efemp2
Cd300c
Tspo2
Ctsk
Iglc2
Mcam
H2-Q7
Cotl1
Ninj2
Ddah1
Rassf10
Smox
Tcf4
Snca
Gjc3
Flrt3
Hbq1b
Hspb1
Gm26558
Klf1
Sema4f
Mast4
Hspa1a
Hsp90ab1
Taf7l
Pycard
Cd248
Hrk
Coro6
Plek
Gm19585
Gm11940
Sox6
Shc4
Scnn1b
Igfbp4
Steap4
Lsmem1
Cd5l
Krt19
H2-DMb2
Gimap6
Rdh10
Gdf10
Uts2r
Wnt2
Fhl2
Runx3
Gdf15
Pcdh1
Sfrp2
Plp1
Cd44
Heg1
Sele
Klra4
Cdh4
