group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,Mrvi1,-0.41925412,15.099677,0.6750304270464469,0.9996120472919082,1.0,1.0
0,Slc35g1,-0.48724127,12.335011,0.6260873630117063,0.9996120472919082,1.0,1.0
0,Lgi4,-0.50626326,10.718543,0.6126718643799658,0.9996120472919082,1.0,1.0
0,Hoxb5,-0.4305853,9.626515,0.6667699264897011,0.9996120472919082,1.0,1.0
0,Pygo1,-0.41925412,9.597926,0.6750304270464469,0.9996120472919082,1.0,1.0
0,Pafah2,-0.42635456,9.483069,0.6698495084504903,0.9996120472919082,1.0,1.0
0,Sox8,-0.4305853,9.340811,0.6667699264897011,0.9996120472919082,1.0,1.0
0,6030419C18Rik,-0.41925412,9.329978,0.6750304270464469,0.9996120472919082,1.0,1.0
0,Trim59,-0.22877201,9.061632,0.8190461173292181,0.9996120472919082,1.0,1.0
0,Akap17b,-0.29774305,8.857718,0.7658992715341395,0.9996120472919082,1.0,1.0
1,Zfp518b,-0.40162852,19.3685,0.6879574333632708,0.9983918025267415,1.0,1.0
1,Serpina3m,-0.52358073,12.019789,0.600570177677429,0.9983918025267415,1.0,1.0
1,Tmem14a,-0.429965,10.605613,0.6672211023579632,0.9983918025267415,1.0,1.0
1,Cacna1c,-0.52849865,10.471895,0.5971532879120539,0.9983918025267415,1.0,1.0
1,Lamc2,-0.4511393,9.979918,0.6518891606209032,0.9983918025267415,1.0,1.0
1,Mylpf,-0.55935264,9.528917,0.5759210943195421,0.9983918025267415,1.0,1.0
1,Dlg4,-0.44770455,9.397625,0.6543664248070532,0.9983918025267415,1.0,1.0
1,Egflam,-0.4568378,9.236623,0.6477876261746549,0.9983918025267415,1.0,1.0
1,Nxpe2,-0.4568378,9.040868,0.6477876261746549,0.9983918025267415,1.0,1.0
1,Gm6169,-0.35071266,8.843308,0.7258039382418187,0.9983918025267415,1.0,1.0
10,Gm43672,0.12672007,11.408332,0.8991619583100674,0.9986706131220914,1.0,1.0
10,Atg9b,-0.09108471,10.939782,0.9274252836247351,0.9986706131220914,1.0,1.0
10,Tspan18,-0.2524271,10.735646,0.800710955728005,0.9986706131220914,1.0,1.0
10,Hs1bp3,0.030212592,10.682513,0.9758975061910743,0.9986706131220914,1.0,1.0
10,Abca9,-0.2504606,10.082952,0.8022311708296272,0.9986706131220914,1.0,1.0
10,Dusp4,-0.11453373,9.3153305,0.9088147086717154,0.9986706131220914,1.0,1.0
10,Heca,0.06656305,9.10407,0.9469295640958926,0.9986706131220914,1.0,1.0
10,Tbc1d2,-0.30153,8.81449,0.7630103692230039,0.9986706131220914,1.0,1.0
10,Taf5,0.12293605,8.78809,0.9021577386028548,0.9986706131220914,1.0,1.0
10,Ccm2l,-0.4385891,8.708636,0.6609592920629987,0.9986706131220914,1.0,1.0
11,Cxcr2,-0.25696936,14.363718,0.797202433195628,0.9990942444289961,1.0,1.0
11,Gm15448,-0.265769,12.174611,0.7904171143299226,0.9990942444289961,1.0,1.0
11,Hpgd,-0.19724816,11.72804,0.8436333448458035,0.9990942444289961,1.0,1.0
11,Jag2,-0.38611725,11.668142,0.6994098455594999,0.9990942444289961,1.0,1.0
11,Ston2,0.06877966,11.415389,0.9451650086431874,0.9990942444289961,1.0,1.0
11,Cog5,-0.100743115,11.403888,0.9197543850066375,0.9990942444289961,1.0,1.0
11,Vdac3-ps1,-0.17851654,10.826397,0.858317332672737,0.9990942444289961,1.0,1.0
11,Ppp1r3e,-0.21258286,9.480399,0.8316523467341379,0.9990942444289961,1.0,1.0
11,Mtfp1,-0.34723052,9.473476,0.7284181417520272,0.9990942444289961,1.0,1.0
11,Espl1,0.12643035,8.891562,0.899391283732665,0.9990942444289961,1.0,1.0
12,E2f8,-0.3340086,11.890412,0.7383730681254043,0.9977505899072234,1.0,1.0
12,March3,-0.30488974,11.036767,0.7604501404226021,0.9977505899072234,1.0,1.0
12,Lrrc61,-0.22021149,10.937646,0.8257064487662747,0.9977505899072234,1.0,1.0
12,L3hypdh,-0.3269349,10.769836,0.7437171144791499,0.9977505899072234,1.0,1.0
12,Tmem194,0.109298795,10.4885645,0.9129655023970877,0.9977505899072234,1.0,1.0
12,Zfp949,-0.0701188,10.420285,0.9440991035958188,0.9977505899072234,1.0,1.0
12,Gm43672,-0.14154245,10.402317,0.887441423795271,0.9977505899072234,1.0,1.0
12,2310040G24Rik,-0.15579285,9.580889,0.8761963089283844,0.9977505899072234,1.0,1.0
12,Serpinb1a,0.12681133,9.119348,0.8990897315286965,0.9977505899072234,1.0,1.0
12,Abca9,-0.28888807,9.106521,0.7726670250982081,0.9977505899072234,1.0,1.0
13,Sdcbp2,-0.36903867,14.282278,0.712098889835043,0.9992175113563134,1.0,1.0
13,Iigp1,-0.42218027,13.642528,0.6728934514894591,0.9992175113563134,1.0,1.0
13,Prtn3,-0.5196065,13.288836,0.6033378881659142,0.9992175113563134,1.0,1.0
13,Fam117a,-0.36313406,11.955854,0.7165047375854972,0.9992175113563134,1.0,1.0
13,Dach1,-0.3129448,11.279262,0.7543225962148611,0.9992175113563134,1.0,1.0
