"","PC","Variance"
"1","PC1",0.288680023005936
"2","PC2",0.151222871152874
"3","PC3",0.0628929592128416
"4","PC4",0.0398726275271173
"5","PC5",0.0354620928638107
"6","PC6",0.0339945968330992
"7","PC7",0.0324912810055257
"8","PC8",0.0249042553038525
"9","PC9",0.0197601971325894
"10","PC10",0.0181019152202556
"11","PC11",0.0166661747445381
"12","PC12",0.0157547967229884
"13","PC13",0.0148888918949187
"14","PC14",0.0139299117399067
"15","PC15",0.0133061082912045
"16","PC16",0.0121566511389654
"17","PC17",0.0102970805068367
"18","PC18",0.00985162496802039
"19","PC19",0.00920666071313306
"20","PC20",0.00901281919786991
"21","PC21",0.00862923696974309
"22","PC22",0.00792873050546956
"23","PC23",0.00787722533573928
"24","PC24",0.00740210656924182
"25","PC25",0.00719947104368319
"26","PC26",0.00698293942597946
"27","PC27",0.00674017090219408
"28","PC28",0.00662203893616622
"29","PC29",0.0062595547086373
"30","PC30",0.00606981274665384
"31","PC31",0.00596820893733906
"32","PC32",0.00574051899524538
"33","PC33",0.00566620093932182
"34","PC34",0.00542391308428706
"35","PC35",0.0053615916585328
"36","PC36",0.00527238754556393
"37","PC37",0.00520272641890658
"38","PC38",0.0050486444885079
"39","PC39",0.00488593101994128
"40","PC40",0.00480841576419148
"41","PC41",0.00470088506262337
"42","PC42",0.00444861759299114
"43","PC43",0.00440337967839105
"44","PC44",0.00429524685627718
"45","PC45",0.00426861517833148
"46","PC46",0.00423055424222615
"47","PC47",0.00409599152133759
"48","PC48",0.00404429871237813
"49","PC49",0.0040040012884633
"50","PC50",0.00396504469535236
