"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.28194433034482e-149,2.25702034895155,0.675,0.199,9.90599801452074e-145,"0","Ccl12"
4.89733398261612e-93,2.21505843990909,0.431,0.113,7.72260595718735e-89,"0","Cbr2"
3.85306840676543e-111,2.17096347444432,0.401,0.079,6.07590357062841e-107,"0","Folr2"
2.58163823273689e-195,2.08478449280064,0.955,0.483,4.07098532920281e-191,"0","Pf4"
1.84800483499172e-115,2.06687634443941,0.542,0.157,2.91411882429845e-111,"0","C1qa"
3.24934083163004e-120,1.99293926166755,0.646,0.231,5.12388555739742e-116,"0","C1qb"
2.5705209530756e-133,1.97262332486882,0.707,0.248,4.05345449090491e-129,"0","Mrc1"
6.50223030959838e-121,1.95943707895503,0.62,0.205,1.02533669752057e-116,"0","C1qc"
2.10068100640767e-169,1.82843357153805,0.88,0.344,3.31256387900425e-165,"0","Ms4a7"
1.34282788180063e-58,1.65125639204749,0.374,0.12,2.11750528681141e-54,"0","Tmem37"
4.59714819693184e-27,1.52709769094674,0.258,0.104,7.24924299174182e-23,"1","Clec4b1"
1.30313829128588e-14,1.06495723407745,0.472,0.337,2.0549187715287e-10,"1","Lpl"
3.64540798908444e-16,1.00451080112085,0.266,0.137,5.74844385798726e-12,"1","Pilrb1"
3.00594036152709e-72,0.969010347182251,0.937,0.596,4.74006735609207e-68,"1","Clec4a2"
4.22284148418286e-25,0.964767464988516,0.47,0.268,6.65899873640795e-21,"1","Pira2"
1.35016268493869e-15,0.943624023772078,0.345,0.209,2.12907153787981e-11,"1","Kcnn4"
4.56405969072126e-45,0.91444448872595,0.674,0.408,7.19706572629836e-41,"1","Cd74"
1.7741941554933e-36,0.896966429851128,0.681,0.425,2.79772676379738e-32,"1","Clec4n"
6.15821967227825e-23,0.879621774161897,0.455,0.264,9.71089660121558e-19,"1","Clec12a"
2.52692382146776e-26,0.871555764819635,0.583,0.375,3.98470617407251e-22,"1","Bcl2a1d"
1.37160036239344e-68,1.54814619679398,0.541,0.198,2.16287661145821e-64,"2","Dmkn"
1.26850860223322e-71,1.50668770320749,0.721,0.373,2.00031121486156e-67,"2","Vcan"
6.51679628382303e-35,1.43041123124605,0.409,0.185,1.02763360599605e-30,"2","Trem1"
1.14504165097709e-22,1.39749240996671,0.297,0.137,1.80561617942578e-18,"2","Pilrb1"
3.20434866630506e-52,1.34028775269635,0.731,0.446,5.05293741189644e-48,"2","Ptgs2"
6.30842358125364e-19,1.25331533022087,0.307,0.155,9.94775314527887e-15,"2","Arg2"
9.22558064465856e-19,1.2499027447771,0.357,0.195,1.45478181185621e-14,"2","Il1a"
2.89677749669169e-80,1.23103300253391,0.886,0.492,4.56792843453313e-76,"2","Chil3"
2.21082638118785e-38,1.22234802392851,0.651,0.384,3.48625212049513e-34,"2","F10"
5.52814996299007e-35,1.20372548781083,0.617,0.363,8.71733967663904e-31,"2","Slc7a11"
1.5879296111871e-50,2.84722780558328,0.345,0.11,2.50400620388094e-46,"3","Ppbp"
1.56376547000386e-64,2.69287396435142,0.373,0.106,2.46590176964908e-60,"3","Gpnmb"
2.80002223880374e-106,2.42798509249344,0.703,0.273,4.41535506836962e-102,"3","Cxcl3"
9.54517291555834e-108,2.20333470695038,0.727,0.273,1.50517831705439e-103,"3","Arg1"
5.76973285910841e-116,2.01599648302792,0.91,0.512,9.09829174552805e-112,"3","Pf4"
9.01889116018759e-30,1.8982394136989,0.271,0.099,1.42218894704998e-25,"3","Il7r"
1.27957284463719e-70,1.83628861089747,0.826,0.474,2.01775841870839e-66,"3","Hmox1"
4.04810313915616e-49,1.78512626618836,0.778,0.499,6.38345384013535e-45,"3","Spp1"
5.51691962349009e-34,1.7613858491805,0.285,0.098,8.69963055428152e-30,"3","Syngr1"
8.44025986337094e-42,1.72866935343404,0.371,0.14,1.33094457785496e-37,"3","Lhfpl2"
7.83975955836202e-317,4.29046236159467,0.906,0.167,1.23625168475811e-312,"4","Hp"
3.06826181361662e-194,3.88784067325858,0.489,0.049,4.83834205389204e-190,"4","Sell"
2.39391237288389e-305,3.83309389376103,0.915,0.172,3.7749604208006e-301,"4","Ifitm6"
1.06251053511893e-114,3.43335202236214,0.378,0.054,1.67547286282905e-110,"4","Itgal"
4.75198926686182e-105,3.40239971985496,0.358,0.054,7.49341187491441e-101,"4","Cd244"
3.25071287913632e-221,3.32752703780682,0.947,0.329,5.12604913911006e-217,"4","Plac8"
1.12111998421415e-97,3.28924855862216,0.366,0.062,1.76789410310729e-93,"4","Trem3"
4.16282315684048e-182,3.1564288028115,0.845,0.275,6.56435583602176e-178,"4","Ly6c2"
2.78637623451299e-227,3.1537610625286,0.93,0.323,4.39383668420354e-223,"4","Gsr"
7.39778648569193e-146,3.07822641220514,0.622,0.143,1.16655695092876e-141,"4","Mcemp1"
1.49094827205194e-218,9.51046625966484,0.282,0.002,2.35107633019871e-214,"6","Cd7"
0,9.13516683431782,0.546,0.004,0,"6","Klrd1"
1.19876128184478e-257,8.44048003435441,0.318,0.001,1.89032666534103e-253,"6","Klrb1b"
0,8.05997762261872,0.504,0.008,0,"6","Cd209a"
0,7.72756399149686,0.457,0.004,0,"6","Klrk1"
4.36682527742384e-255,7.50003035081398,0.35,0.004,6.88604677996966e-251,"6","Gpr171"
3.12060863434476e-278,7.39357004187989,0.371,0.003,4.92088775549826e-274,"6","P2ry10"
1.1874049789705e-211,5.81764763358077,0.379,0.013,1.87241891133858e-207,"6","H2-DMb2"
3.87646799771792e-135,5.36686954867302,0.525,0.076,6.11280238560139e-131,"6","Ifitm1"
1.02716135066439e-145,5.26283474615658,0.257,0.008,1.61973073386268e-141,"6","Cst7"
8.64436043593797e-287,6.4650579437189,0.46,0.011,1.36312919714306e-282,"7","Aplnr"
9.82274709299454e-208,6.35585300139441,0.487,0.031,1.54894898909431e-203,"7","Plvap"
5.75328054208008e-270,6.12099405202591,0.438,0.011,9.07234808680608e-266,"7","Clec14a"
7.68146381141063e-183,5.93508195046229,0.37,0.017,1.21129002842134e-178,"7","Stmn2"
1.12818030790422e-208,5.81119763304208,0.4,0.016,1.77902752753417e-204,"7","Vwf"
6.08432859587027e-308,5.69948777113452,0.585,0.024,9.59437776282783e-304,"7","C1qtnf9"
3.42264490326341e-237,5.62894632691042,0.445,0.017,5.39716874795607e-233,"7","Tmem252"
