"cluster","genes"
"0","Fbn2, Saa3, Slit2, Mmp3, Cpz"
"1","Ccl24, Tnfsf13, Ccl9, Ass1, Fxyd2"
"2","Mt3, Ksr2, Atp6v0d2, Cdk18, Mmp12"
"3","Adamts19, Ptx3, 1700019D03Rik, Col6a5, Gm12796"
"4","Bmp3, Akr1c18, Smpd3, Aldh1a3, Tmem28"
"5","Uox, Cryaa, Stra6, Tnn, Crabp2"
"6","Chil3, Arhgef37, Ly6c2, Ms4a4c, F13a1"
"7","Col4a3, Inmt, Col4a4, Frmpd4, Trhde"
"8","Gm20406, Gm20528, Osgin1, E230032D23Rik, Hcar2"
"9","Retnlg, Scrg1, Wfdc21, Nlrp12, Cxcr2"
"10","Selp, Syt15, Sele, AU021092, Aplnr"
"11","Cd177, Chil3, Ly6c2, Ms4a4c, Trem3"
"12","Kmo, Mgl2, Ccl22, Ccl17, Flt3"
"13","Themis, Gm2682, Cxcr6, Itk, Cd3e"
"14","Olfr78, Gm13861, Casq2, Olfr558, Rgs5"
"15","Chad, Ptx4, Uts2r, Cilp2, Fmod"
"16","Mmrn1, Ccl21a, Pkhd1l1, Nts, Lyve1"
"17","Calcr, Gjc3, Kcna1, Mal, Pax7"
"18","Myf6, Car3, Myl1, Trim54, Tnnc2"
"19","Apln, Tmem252, 2200002D01Rik, Fam167b, Glycam1"
