PC,Variance
PC1,0.21160216857331485
PC2,0.13106714099891734
PC3,0.05920923668527233
PC4,0.058104022965542415
PC5,0.049136400890706804
PC6,0.044795492122359996
PC7,0.038088296236912816
PC8,0.03461973625016406
PC9,0.03033765041021142
PC10,0.023004703006529462
PC11,0.02218818698673596
PC12,0.019190409816016957
PC13,0.018171774191883743
PC14,0.017582073935889835
PC15,0.015435267996851828
PC16,0.01358618226801413
PC17,0.01332085625573979
PC18,0.012842837350272428
PC19,0.011217731892320545
PC20,0.01029643641906404
PC21,0.010162185368664206
PC22,0.009809043220545991
PC23,0.009699619689314098
PC24,0.008595337131524659
PC25,0.007898390103630243
PC26,0.007409207877821939
PC27,0.007054431552552838
PC28,0.006811389975171276
PC29,0.006290591329552699
PC30,0.0059990549019534045
PC31,0.0057179341340623
PC32,0.005531030664830245
PC33,0.005198602721431927
PC34,0.005055350624524992
PC35,0.004721790806804001
PC36,0.004580174858465571
PC37,0.004538039668307675
PC38,0.004490736499215542
PC39,0.004355463722673058
PC40,0.004337364418261977
PC41,0.00415199147633339
PC42,0.004035483070016052
PC43,0.004022104007347736
PC44,0.003969059854100347
PC45,0.0038158550525166967
PC46,0.0037052534116088975
PC47,0.0036384539103984904
PC48,0.003610453741753962
PC49,0.0035210478048121026
PC50,0.003477953149082811
