PC1,PC2
-0.71502507,1.5637219
-14.074599,2.0244298
13.385842,-45.822796
13.948843,7.4221535
-11.894866,1.2758961
12.64676,1.3188362
16.83391,6.1133094
-13.353378,0.717163
-15.1212435,2.0456102
-16.821697,2.5082657
-12.380856,1.4373827
19.505348,5.4361453
-11.995685,1.5834734
10.990445,4.9076595
-8.2983265,3.3325121
12.630161,4.983328
17.68781,7.7819366
13.449262,-44.32064
-11.253817,1.1954432
-16.892519,1.3632782
5.3862534,-35.082497
14.918976,5.576214
-12.471286,0.47942394
-12.613067,0.77833176
-14.008486,1.6555939
-12.536092,1.1241518
-18.706516,0.20994046
9.099454,-43.81143
11.982492,5.206751
-13.185702,1.0922841
-13.829572,1.6494372
-15.271625,-0.47842762
17.29713,7.620328
-12.824693,0.9614796
17.25721,5.244152
15.236743,7.8255396
5.7938914,-27.283438
-13.182979,1.2301213
15.223295,6.197654
-15.393506,0.45566517
8.894683,-43.914757
-13.096413,1.3058761
7.92028,5.3528557
-13.094186,1.2070488
-13.587085,1.6314036
-15.613271,1.5712987
-11.566683,1.3340098
16.327354,5.5407977
-9.335714,-3.554961
-12.934034,1.7246183
15.861569,6.1057286
15.685083,0.8219135
9.428563,6.5533147
-15.725966,1.2693866
13.295033,6.447226
16.11283,5.470353
12.502515,3.3033495
-10.094379,1.4916918
4.7136827,-26.026485
14.780998,6.1843653
16.285776,5.2605295
15.513141,5.231769
-13.555497,0.9504301
-14.835476,-0.46993238
-15.138321,1.606445
-14.360457,1.7000239
-9.423066,-1.9276265
-12.337972,2.0986905
16.571146,3.9655366
-15.167436,1.8241901
16.527424,7.3747854
-13.155974,0.7567088
8.173392,4.311606
4.6165066,-7.970435
13.45555,-10.6242285
8.419334,2.812715
-13.30468,0.12991399
17.841328,7.2202954
8.38614,-43.449368
-13.346483,1.7365713
-13.846209,0.922256
-14.053955,1.781987
-12.6830015,-0.4014328
-11.446962,0.1466535
-12.781464,1.2455673
17.517426,5.5789304
10.975529,6.1205416
-14.118124,1.4099398
-14.217493,1.007727
-14.236711,1.6131995
0.13537906,-18.00298
-14.308382,1.4610348
16.351254,5.216397
18.06577,4.212411
10.312479,-35.233803
-12.8415985,1.26687
-14.686642,2.0241723
10.297686,-33.695923
2.0626662,1.9954758
-14.4533205,0.8880915
-15.187956,1.2614578
-14.4429,2.1242418
-16.348997,1.3182738
-12.371379,1.7334907
-15.707164,0.84279406
-13.700929,1.0948007
4.1450524,-6.4694376
17.628899,7.5216227
9.862422,5.191833
19.583832,7.575455
-5.3977995,-3.463872
-13.075567,0.8729859
16.005524,5.1852894
6.5364747,-3.0135815
-13.678603,1.5020953
-10.423477,2.2009299
6.4834924,-38.538605
-6.5005364,-20.691187
11.12292,5.7346582
4.6144633,-34.481804
-13.118861,0.8731387
14.969263,7.1175113
-13.586211,2.0459905
-16.124931,0.8672741
-13.312704,1.9253913
-17.485048,1.1638156
9.414338,6.0366526
9.251355,5.038903
10.140218,5.423857
-13.113569,1.0622452
-10.975709,2.1062944
-13.118216,0.85610336
-18.437634,-0.18874244
11.844867,5.0803075
16.793875,7.143126
-18.391644,0.37370244
12.691879,5.041685
0.8201122,-0.48090142
9.622444,2.700098
17.729246,8.207703
8.950798,-8.27864
16.54379,4.565831
12.333619,5.465925
7.0972657,-37.276936
14.352367,2.0446796
18.543844,4.356425
-9.65186,0.002942607
17.152008,7.9453583
-16.214586,1.6452054
-14.070704,0.8564904
13.786264,6.0112967
12.316783,-19.521416
-15.560288,2.645565
9.128643,-40.51768
14.780313,-11.337252
11.614893,2.666933
15.8301935,6.855437
8.984484,-33.228886
13.846063,6.0432906
16.670486,5.434728
10.091363,2.5223393
7.237082,3.9417129
14.188206,3.3013828
-16.465246,1.6187927
16.77777,5.1513925
14.410629,4.6550303
0.0021794655,-0.8422088
-13.09143,1.5336857
15.317408,6.8624067
7.488843,-41.219532
-12.524998,0.9568773
12.461922,6.3247695
-16.6655,0.71936095
9.6674385,-47.73477
6.5989614,1.7030598
-11.726528,1.568896
1.6702428,1.651947
16.802683,6.942751
-12.015568,1.4123626
-14.852552,1.7908113
17.065977,6.5237007
14.472588,4.4690647
-13.572512,1.3028758
13.658835,6.5166354
-16.689169,0.93732536
14.816416,6.307768
-14.419088,1.2603749
14.01417,6.3575087
-8.81892,0.92310274
13.81513,4.8931026
-12.876764,1.6816864
14.796821,5.812862
12.92667,6.2690744
-12.964598,1.5603509
-10.021188,-0.47939116
-14.220784,1.6947399
16.071571,2.6689677
14.384286,-44.11199
12.102442,1.8427666
11.062519,0.99987334
-12.123189,1.0607557
17.531195,7.90946
8.473486,-38.627293
4.260766,-2.3019054
7.086508,3.1224086
11.197373,6.400384
15.687216,6.8071322
-15.18804,1.610377
