Gene,Loading
Lcp1,0.056788850601145864
Tyrobp,0.05666616516894323
Nedd4,0.05660533295788836
Fcer1g,0.05620811210415704
Ptprc,0.05616094128528899
Cd53,0.05611254879940571
Sparc,0.0548055226719593
Fstl1,0.05478995671830388
Serping1,0.054704923654256624
Serpinh1,0.05467479306537181
